1,1,1,Morning Yoga,Yoga,2026-01-01,60
2,2,2,Core Pilates,Pilates,2026-01-08,45
3,3,3,HIIT Session,CrossFit,2026-01-15,90
4,4,4,Boxing Basics,Boxing,2026-01-22,60
5,5,5,Swim Endurance,Swimming,2026-01-29,75
6,6,6,Power Cycling,Cycling,2026-02-05,50
7,7,7,Strength Build,Weightlifting,2026-02-12,80
8,1,8,Evening Yoga,Yoga,2026-02-19,60
9,2,9,Stretch and Tone,Pilates,2026-02-26,45
10,3,10,Cardio Blast,CrossFit,2026-03-05,90
11,4,11,Advanced Boxing,Boxing,2026-03-12,60
12,5,12,Swim Technique,Swimming,2026-03-19,75
13,6,13,Hill Cycling,Cycling,2026-03-26,50
14,7,14,Olympic Lifting,Weightlifting,2026-04-02,80
15,1,15,Yoga Flow,Yoga,2026-04-09,60
16,2,16,Pilates Core,Pilates,2026-04-16,45
17,3,17,CrossFit WOD,CrossFit,2026-04-23,90
18,4,18,Sparring Session,Boxing,2026-04-30,60
19,5,19,Open Water Swim,Swimming,2026-05-01,75
20,6,20,Sprint Cycling,Cycling,2026-05-03,50
21,7,21,Deadlift Day,Weightlifting,2026-05-05,80
22,1,22,Sunrise Yoga,Yoga,2026-05-07,60
23,2,23,Balance Pilates,Pilates,2026-05-09,45
24,3,24,Endurance WOD,CrossFit,2026-05-11,90
25,4,25,Footwork Drill,Boxing,2026-05-13,60
26,5,26,Backstroke Focus,Swimming,2026-05-15,75
27,6,27,Tempo Ride,Cycling,2026-05-17,50
28,7,28,Squat Program,Weightlifting,2026-05-19,80
29,1,29,Yin Yoga,Yoga,2026-05-21,60
30,2,30,Full Body Pilates,Pilates,2026-05-23,45